date,product,category,quantity,price,region
2024-01-05,Laptop Pro,Electronics,10,75000,North
2024-01-08,Wireless Mouse,Electronics,50,1200,South
2024-01-10,Office Chair,Furniture,20,8500,East
2024-01-12,Desk Lamp,Furniture,30,1500,West
2024-01-15,Smartphone X,Electronics,25,45000,North
2024-01-18,Headphones,Electronics,40,3500,South
2024-01-20,Bookshelf,Furniture,15,6000,East
2024-01-22,Keyboard,Electronics,60,2000,West
2024-01-25,Monitor 24",Electronics,18,18000,North
2024-01-28,Standing Desk,Furniture,8,22000,South
2024-02-02,Laptop Pro,Electronics,12,75000,East
2024-02-05,Wireless Mouse,Electronics,45,1200,West
2024-02-07,Office Chair,Furniture,22,8500,North
2024-02-10,Smartphone X,Electronics,30,45000,South
2024-02-12,Headphones,Electronics,55,3500,East
2024-02-15,Desk Lamp,Furniture,25,1500,West
2024-02-18,Keyboard,Electronics,70,2000,North
2024-02-20,Monitor 24",Electronics,20,18000,South
2024-02-22,Bookshelf,Furniture,18,6000,East
2024-02-25,Standing Desk,Furniture,10,22000,West
2024-03-01,Laptop Pro,Electronics,15,75000,North
2024-03-04,Smartphone X,Electronics,35,45000,South
2024-03-06,Wireless Mouse,Electronics,60,1200,East
2024-03-08,Office Chair,Furniture,28,8500,West
2024-03-10,Headphones,Electronics,48,3500,North
2024-03-12,Desk Lamp,Furniture,35,1500,South
2024-03-15,Keyboard,Electronics,80,2000,East
2024-03-18,Monitor 24",Electronics,22,18000,West
2024-03-20,Bookshelf,Furniture,20,6000,North
2024-03-25,Standing Desk,Furniture,12,22000,South
2024-04-02,Laptop Pro,Electronics,8,75000,East
2024-04-05,Smartphone X,Electronics,28,45000,West
2024-04-08,Wireless Mouse,Electronics,55,1200,North
2024-04-10,Office Chair,Furniture,18,8500,South
2024-04-12,Headphones,Electronics,42,3500,East
2024-04-15,Desk Lamp,Furniture,28,1500,West
2024-04-18,Keyboard,Electronics,65,2000,North
2024-04-20,Monitor 24",Electronics,16,18000,South
2024-04-22,Bookshelf,Furniture,14,6000,East
2024-04-25,Standing Desk,Furniture,9,22000,West
2024-05-01,Laptop Pro,Electronics,20,75000,North
2024-05-05,Smartphone X,Electronics,40,45000,South
2024-05-08,Wireless Mouse,Electronics,70,1200,East
2024-05-10,Office Chair,Furniture,25,8500,West
2024-05-12,Headphones,Electronics,60,3500,North
2024-05-15,Desk Lamp,Furniture,40,1500,South
2024-05-18,Keyboard,Electronics,90,2000,East
2024-05-20,Monitor 24",Electronics,25,18000,West
2024-05-22,Bookshelf,Furniture,22,6000,North
2024-05-25,Standing Desk,Furniture,14,22000,South
2024-06-02,Laptop Pro,Electronics,18,75000,East
2024-06-05,Smartphone X,Electronics,32,45000,West
2024-06-08,Wireless Mouse,Electronics,65,1200,North
2024-06-10,Office Chair,Furniture,30,8500,South
2024-06-12,Headphones,Electronics,50,3500,East
2024-06-15,Desk Lamp,Furniture,35,1500,West
2024-06-18,Keyboard,Electronics,75,2000,North
2024-06-20,Monitor 24",Electronics,19,18000,South
2024-06-22,Bookshelf,Furniture,16,6000,East
2024-06-25,Standing Desk,Furniture,11,22000,West
